X,Y,OBJECTID,GlobalID,GPIN,BuildingName,PID,Address,BuildingID,BuildingStatus,YearBuilt,GFASource,PermitCase,PermitStatus,GFA,DCOOD,OCCDate,BPGFA,EnergovID,CreateUser,CreateDate,LastEditUser,LastEditDate,ApprovedGFA,PermittedGFA,REATaxedGFA,PlanningCaseNumber,PlanningCaseName,PlanCaseEnergovID
11740876.4248448,6967622.28538001,96,{DC8DFBE7-BCC3-4024-95E5-07B1AFC0F7C8},7496-07-8757,Digital Realty VA4,P749600030,8217 LINTON HALL RD,VA4,Completed,2002,,BLD2001-04142,Finaled,345968,Yes,2002/11/06 00:00:00+00,296000,30f91877-942c-4458-b223-eb006664011d,,,RFH7157A,2026/03/11 12:17:08+00,345968,,227465,REZ1958-0021,BOCS,7b3b0a5f-c395-47c0-99c0-eb53f411acb3
11733120.1431133,6976622.42026684,97,{97DC5D52-6C1B-4FDB-B507-2E475F73D0AD},7397-36-1468,Village Place Technology Park Bldg 4,P279453322,14495 JOHN MARSHALL HWY,4,Under Construction,,,BLD2023-01296,Issued,0,No,,252966,c7d90ea4-b26e-4aeb-91e4-9feeba561cc5,,,RFH7157A,2026/02/02 03:45:47+00,,,252966,,,
11733426.1326587,6976286.48261851,98,{5B49EE9D-1380-4D80-A059-ADC80A805E3E},7397-36-2834,Village Place Technology Park Bldg 3,P370281578,14475 JOHN MARSHALL HWY,3,Under Construction,,,BLD2023-04861,Issued,0,No,,253470,b65933a0-cd7e-4654-923f-ddc0bf1ad015,,,RFH7157A,2026/02/02 03:45:47+00,,,253470,,,
11733620.1430975,6976091.17034508,99,{7EC0611D-58D8-44A7-A4DC-4E1FFB249EA3},7397-35-5597,Village Place Technology Park Bldg 2,P149551190,14455 JOHN MARSHALL HWY,2,Under Construction,,,BLD2023-07720,Issued,0,No,,253816,864d00a9-f7b3-486b-b319-5306ed797dbe,,,RFH7157A,2026/02/02 03:45:47+00,,,253816,,,
11733691.7577837,6975532.57631792,100,{21FC1137-FAE1-4085-B6CE-60F2E221812E},7397-35-8363,Village Place Technology Park Bldg 1,P212840159,14435 JOHN MARSHALL HWY,1,Under Construction,,,BLD2024-03062,Issued,0,No,,217917,8527617c-9917-47fb-a807-7a34bb4c1ba3,,,RFH7157A,2026/02/02 03:45:47+00,,,217917,,,
11736555.233684,6975553.84399192,101,{0AD393F1-8659-4602-ADBD-599684D1233A},7397-56-8403,NTT Grove at Gainesville VA10,P230300366,7253 GROVE HILL BLVD,NTTVA10,Under Construction,,Proffer,BLD2023-05471,Issued,739420,No,,560942,357b9311-fd43-4c5c-933b-1bb68c7f9e24,,,RFH7157A,2026/02/02 06:49:39+00,,,560942,,,
11735775.2605064,6975985.50848292,102,{7F9F6148-D723-4F16-8EBF-B22AD695FB4D},7397-56-8403,NTT Grove at Gainesville VA12,P230300367,7250 GROVE HILL BLVD,NTTVA12,Planned,,Proffer,,Planned,739420,No,,,,,,RFH7157A,2026/02/02 06:49:39+00,,,,,,
11735174.5769965,6976545.05526409,103,{23A78CF7-D180-4294-A0C3-2387EF42CCB1},7397-56-8403,NTT Grove at Gainesville VA13,P230600613,7151 CATHARPIN RD,NTTVA13,Planned,,Proffer,,Planned,739420,No,,,,,,RFH7157A,2026/02/02 06:49:39+00,,,,,,
11736174.1780157,6975780.095836,104,{3517EF61-9810-4640-B5D0-D4F254B4BFFA},7397-56-8403,NTT Grove at Gainesville VA11,P230300365,7251 GROVE HILL BLVD,NTTVA11,Under Construction,,Proffer,BLD2025-04670,Issued,739420,No,,580498,9053787d-d59c-4282-a0c3-a587aad40bf6,,,RFH7157A,2026/02/02 06:49:39+00,,,580498,,,
11725501.8223919,6981185.97544417,105,{9CEEBCE5-3CBE-43BF-B0A1-62831078BF47},7298-51-5907,Amazon AWS IAD-55,P729800698,15395 JOHN MARSHALL HWY,IAD55,Completed,2014,,BLD2014-01766,Finaled,0,No,2014/07/29 00:00:00+00,230150,925d0843-100c-42cb-a96c-5af416e9a4bd,,,PLANNING,2026/02/26 16:40:06+00,,,236082,,,
11724514.8427386,6981641.85314134,106,{F219B0F4-AC74-4BE2-82C1-16C2BD73D672},7298-41-4524,Amazon AWS IAD 15445 John Marshall,P836331163,15445 JOHN MARSHALL HWY,3,Completed,2024,,BLD2022-07765,Finaled,0,No,2024/11/05 00:00:00+00,141592,801e0b5d-c422-46aa-ba73-36a5a3ccb89a,,,PLANNING,2026/02/26 16:40:06+00,,,141592,,,
11724302.6413913,6981003.26517968,107,{A50806C3-7CEC-44BF-93C5-42FE4BB172E4},7298-41-4524,Amazon AWS IAD-64,P949071156,15465 JOHN MARSHALL HWY,IAD64,Completed,2017,,BLD2016-04280,Finaled,0,No,2017/10/26 00:00:00+00,147187,c716c72f-806b-487a-9845-e011cb114220,,,PLANNING,2026/02/26 16:40:06+00,,,147187,,,
11724425.6959353,6981310.87053558,108,{20959458-7439-477F-98C9-A1B34D3D5F30},7298-41-4524,Amazon AWS IAD-84,P852756223,15455 JOHN MARSHALL HWY,IAD84,Completed,2023,,BLD2018-06209,Finaled,0,No,2023/07/11 00:00:00+00,147187,5c8effa1-fcc9-407c-a57c-ef605179d4ec,,,PLANNING,2026/02/26 16:40:06+00,,,147187,,,
11723922.7655107,6980805.07627159,109,{B9F5D4E6-5318-444E-885E-1554965FDDA9},7298-41-4524,Amazon AWS IAD-64 Ext,P789895457,15475 JOHN MARSHALL HWY,IAD64-Ext,Completed,2021,,BLD2020-04888,Finaled,0,No,2021/11/26 00:00:00+00,17421,48ca25e4-6fd0-4030-bad6-a1fcfc613fa9,,,PLANNING,2026/02/26 16:40:06+00,,,17421,,,
11755037.1599747,6964504.04949051,110,{F60D0965-C91D-4A50-8B9F-0CAB3484FDE6},7596-54-4132,Wellington Glen Technology Park,P759604075,11750 STONE CROP DR,1,Planned,,Proffer,,Planned,475000,Yes,,,,,,RFH7157A,2026/01/22 23:41:27+00,475000,,,,,
11745190.2062434,6971870.57150283,111,{5AB77E0A-DBCA-44C4-8B26-8E647654D079},7497-41-7199,Amazon AWS IAD A,P902012612,7751 DEACON FALLS DR,A,Under Construction,,Estimated,BLD2024-05622,Issued,318739,Yes,,248483,23ed55f4-eb87-4e07-bd74-f76e9d6dcbda,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11744697.5923993,6972250.20591417,112,{754D7A03-6BBA-4635-BBAE-999D63A5E050},7497-41-7199,Amazon AWS IAD C,P178254722,7701 DEACON FALLS DR,C,Planned,,Estimated,BLD2026-00592,Pending,318739,Yes,,218391,efe60f3b-cbea-47b3-ad7e-638e5fb82f89,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11744734.1999376,6972521.04723601,113,{D991A19A-F629-4D12-868E-64914455AA10},7497-41-7199,Amazon AWS IAD D,P584857546,7675 DEACON FALLS DR,D,Planned,,Estimated,BLD2026-00593,Pending,318739,Yes,,218391,afa479db-5f92-4109-93a8-8e01cf4c57c1,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11742868.5934326,6972729.74202859,114,{190EC7C2-0394-4F75-9106-ED9C58C0DD10},7497-32-5305,Amazon AWS IAD A,P230300370,13235 SKYLARK VIEW WAY,IAD A,Planned,,Estimated,,Planned,634891,Yes,,,,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11743773.8419502,6973937.70844467,115,{5E14CB5A-ADA7-42B2-9C79-D16D06B55FDA},7497-43-7416,Microsoft Azure 1,P633199165,13490 UNIVERSITY BLVD,1,Planned,,Estimated,,Planned,425459,Yes,,,,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11745501.3509623,6973311.28482875,116,{37403476-F0EF-4D1F-9639-A589D1C197DF},7497-43-7416,Microsoft Azure 6,P633199165,13490 UNIVERSITY BLVD,6,Planned,,Estimated,,Planned,425459,Yes,,,,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11744183.9234791,6973795.63294142,117,{723A8D35-647C-4EB4-902A-4CDBF634E7A3},7497-43-7416,Microsoft Azure 2,P633199165,13490 UNIVERSITY BLVD,2,Planned,,Estimated,,Planned,425459,Yes,,,,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11745155.8490287,6973433.98635501,118,{7699F220-EB7E-4892-BE6F-C03FF5B105E6},7497-43-7416,Microsoft Azure 5,P633199165,13490 UNIVERSITY BLVD,5,Planned,,Estimated,,Planned,425459,Yes,,,,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
